stage,target,feature,ref,auc,lo,hi,n_pos,n_neg
N1,focal,DAR,U_union,0.7093672981728079,0.6920651071801055,0.7250402026046922,3445,1315
N1,focal,log_delta,R_routine,0.8030009878205588,0.7896516283748609,0.816054282083072,3445,1315
N1,focal,log_delta,O_overnight,0.7234939047608536,0.7074046418994417,0.7389324841351439,3445,1315
N1,focal,log_delta,U_union,0.7327012753370454,0.7170513356087274,0.7477248109113701,3445,1315
N1,focal,log_theta,R_routine,0.7628424950471009,0.7476553200460203,0.7776384948670341,3445,1315
N1,focal,log_theta,O_overnight,0.6833718344214075,0.6662521175793678,0.7003144999949099,3445,1315
N1,focal,log_theta,U_union,0.6937376591412032,0.67879877952756,0.7106360198577514,3445,1315
N1,focal,rel_delta,R_routine,0.759889849729867,0.7453705363466044,0.7744285752900156,3445,1315
N1,focal,rel_delta,O_overnight,0.7020271843802943,0.6842815842736009,0.717559580484269,3445,1315
N1,focal,rel_delta,U_union,0.7074949643225703,0.6923938086814797,0.7229451565129431,3445,1315
N2,abnormal,TAR,R_routine,0.6715460025355056,0.655406834481194,0.6852823516216506,4991,1115
N2,abnormal,TAR,O_overnight,0.5864293845513854,0.5684028420475263,0.6040769629478898,4991,1115
N2,abnormal,TAR,U_union,0.5950592681175892,0.574932817463322,0.6136787402320775,4991,1115
N2,abnormal,DAR,R_routine,0.7070071420035885,0.6906876721187504,0.7224267069325828,4991,1115
N2,abnormal,DAR,O_overnight,0.6558323367712106,0.640775861942357,0.6725610702509821,4991,1115
N2,abnormal,DAR,U_union,0.6597139424955952,0.6435230783008684,0.6755301478971645,4991,1115
N2,abnormal,log_delta,R_routine,0.7146997330621127,0.6985195586237947,0.730869296257664,4991,1115
N2,abnormal,log_delta,O_overnight,0.6535379827186694,0.6356008088568833,0.6705292158455166,4991,1115
N2,abnormal,log_delta,U_union,0.6602014567926302,0.6432458504132561,0.6783803570449494,4991,1115
N2,abnormal,log_theta,R_routine,0.6613953546877653,0.6437124735620707,0.6785951575636259,4991,1115
N2,abnormal,log_theta,O_overnight,0.5885742318235605,0.570979775755203,0.6058161623298322,4991,1115
N2,abnormal,log_theta,U_union,0.598396396024054,0.5815439841388522,0.6156423772593409,4991,1115
N2,abnormal,rel_delta,R_routine,0.5862000929026507,0.5675504063330308,0.6043311104032068,4991,1115
N2,abnormal,rel_delta,O_overnight,0.5727478968870424,0.5538231622455105,0.5882265131740352,4991,1115
N2,abnormal,rel_delta,U_union,0.5731676659242242,0.5560734232210657,0.5911824809556568,4991,1115
N2,gen_pathologic,TAR,R_routine,0.7423674605070495,0.728784564200561,0.7580778427192185,3623,1115
N2,gen_pathologic,TAR,O_overnight,0.6243241670988415,0.6065804576360057,0.6415898696518019,3623,1115
N2,gen_pathologic,TAR,U_union,0.6366153461504662,0.6198044607697205,0.6539456180491745,3623,1115
N2,gen_pathologic,DAR,R_routine,0.790557091031514,0.7768806044270896,0.8047384144645269,3623,1115
N2,gen_pathologic,DAR,O_overnight,0.7200536185729192,0.7030245159069666,0.7354719438636607,3623,1115
N2,gen_pathologic,DAR,U_union,0.7256939656826281,0.7086511100823509,0.7418295829540306,3623,1115
N2,gen_pathologic,log_delta,R_routine,0.7625697307560441,0.7475365647041853,0.7800054875669438,3623,1115
N2,gen_pathologic,log_delta,O_overnight,0.6806820896390647,0.660187432228977,0.6980675466361231,3623,1115
N2,gen_pathologic,log_delta,U_union,0.6894905369159914,0.6721990668493621,0.707539072669256,3623,1115
N2,gen_pathologic,log_theta,R_routine,0.684935681229415,0.6682220002445263,0.7013865903950052,3623,1115
N2,gen_pathologic,log_theta,O_overnight,0.5889829428080933,0.5724119658166559,0.6095777876831686,3623,1115
N2,gen_pathologic,log_theta,U_union,0.6017152497311027,0.5830886050225245,0.6218146334828906,3623,1115
N2,gen_pathologic,rel_delta,R_routine,0.6035770469929906,0.586318327996841,0.6221977327613848,3623,1115
N2,gen_pathologic,rel_delta,O_overnight,0.5845491373623177,0.5662178299426935,0.6037781491239482,3623,1115
N2,gen_pathologic,rel_delta,U_union,0.5852623188423736,0.5664505858631708,0.6038003467032083,3623,1115
N2,focal,TAR,R_routine,0.6669817364292362,0.6506835854783329,0.6819414735936695,3339,1115
N2,focal,TAR,O_overnight,0.5636189777826126,0.5450166299549034,0.5822320561200592,3339,1115
N2,focal,TAR,U_union,0.5742725259435641,0.5562043017598658,0.5917115109925711,3339,1115
N2,focal,DAR,R_routine,0.6989853571797899,0.6827779930091572,0.7163696188182747,3339,1115
N2,focal,DAR,O_overnight,0.6339617269475971,0.6142689167090499,0.6507386928083895,3339,1115
N2,focal,DAR,U_union,0.6395416581049884,0.6207071324605458,0.655579850387229,3339,1115
N2,focal,log_delta,R_routine,0.7190485591534749,0.7018055757901678,0.7353994827957302,3339,1115
N2,focal,log_delta,O_overnight,0.6438750088974304,0.625276968447617,0.6605244575274204,3339,1115
N2,focal,log_delta,U_union,0.6518454949455881,0.6342222478254798,0.6708569002651915,3339,1115
N2,focal,log_theta,R_routine,0.6734727644618498,0.6559791970755756,0.6898825885849783,3339,1115
N2,focal,log_theta,O_overnight,0.5848696677531604,0.5628855226631699,0.6021301012429024,3339,1115
N2,focal,log_theta,U_union,0.5967663044573105,0.5812569582572904,0.6146032238082018,3339,1115
N2,focal,rel_delta,R_routine,0.5822583222870895,0.5633914238965438,0.6005547723054232,3339,1115
N2,focal,rel_delta,O_overnight,0.5647557000632557,0.5451310917389888,0.5837061712034872,3339,1115
N2,focal,rel_delta,U_union,0.5655585504642109,0.544948098243632,0.5850092416376339,3339,1115
N3,abnormal,TAR,R_routine,0.6470487676789627,0.6209021006782087,0.6709425847804572,3495,395
N3,abnormal,TAR,O_overnight,0.5359866717372015,0.5089145838049933,0.5605606803971013,3495,395
N3,abnormal,TAR,U_union,0.5412332264899223,0.5117252636214539,0.5671966309685235,3495,395
N3,abnormal,DAR,R_routine,0.7024465330218577,0.6774206641668402,0.7244844336444006,3495,395
N3,abnormal,DAR,O_overnight,0.6254939244128139,0.6005652193275621,0.6532991006181185,3495,395
N3,abnormal,DAR,U_union,0.6264001014106952,0.599528804178586,0.6569581180508715,3495,395
N3,abnormal,log_delta,R_routine,0.643529816555296,0.6178093726479633,0.6709093022965144,3495,395
N3,abnormal,log_delta,O_overnight,0.5394397059089839,0.5071567794573656,0.5696790266993752,3495,395
N3,abnormal,log_delta,U_union,0.5481342242987269,0.5200102450846723,0.5757646842856633,3495,395
N3,abnormal,log_theta,R_routine,0.5523529092193187,0.5285021168899613,0.5812384101319882,3495,395
N3,abnormal,log_theta,O_overnight,0.450614077977581,0.42371094448622565,0.4796869081862849,3495,395
N3,abnormal,log_theta,U_union,0.4615664330598867,0.4351792765330074,0.48869725649116535,3495,395
N3,abnormal,rel_delta,R_routine,0.5173213089223303,0.49182698140154535,0.5466860095054449,3495,395
N3,abnormal,rel_delta,O_overnight,0.4560004346172652,0.43131009734323145,0.4849996644249656,3495,395
N3,abnormal,rel_delta,U_union,0.4615432534724108,0.4330306530549058,0.4918903481314663,3495,395
N3,gen_pathologic,TAR,R_routine,0.6916943724264146,0.667837011461644,0.7130809046715811,2905,395
N3,gen_pathologic,TAR,O_overnight,0.5567563563476329,0.5273212910748439,0.5839865998448164,2905,395
N3,gen_pathologic,TAR,U_union,0.5629978866641975,0.5338787767279536,0.5928962406038114,2905,395
N3,gen_pathologic,DAR,R_routine,0.7575572452558879,0.7338208658114197,0.7790514853568725,2905,395
N3,gen_pathologic,DAR,O_overnight,0.6651430314385935,0.6368818476020564,0.6907800807929044,2905,395
N3,gen_pathologic,DAR,U_union,0.6660685417982962,0.6402006618353726,0.6925805875636778,2905,395
N3,gen_pathologic,log_delta,R_routine,0.6623464563498116,0.6380021014109866,0.6873887911472163,2905,395
N3,gen_pathologic,log_delta,O_overnight,0.5384875487483387,0.5085983103511889,0.5662672218065643,2905,395
N3,gen_pathologic,log_delta,U_union,0.5484807947885575,0.5189283955909407,0.5775285561085436,2905,395
N3,gen_pathologic,log_theta,R_routine,0.5499352927079021,0.5254221230357643,0.5759865587849331,2905,395
N3,gen_pathologic,log_theta,O_overnight,0.42832392862589597,0.3985723888987001,0.45824387709180603,2905,395
N3,gen_pathologic,log_theta,U_union,0.4409594980282795,0.41440708962122097,0.46802657474323694,2905,395
